n,implementation,repeat,overall_s,computation_s,prime_count,sha256,source
100000000,serial,1,12.948174,12.480866,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\serial_run_1.txt
100000000,openmp,1,3.70673,3.207483,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\openmp_run_1.txt
100000000,mpi,1,3.975437,3.12417,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\mpi_run_1.txt
100000000,hybrid,1,1.653655,0.786899,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\hybrid_run_1.txt
100000000,serial,2,12.952632,12.502234,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\serial_run_2.txt
100000000,openmp,2,3.772387,3.206639,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\openmp_run_2.txt
100000000,mpi,2,4.016292,3.128385,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\mpi_run_2.txt
100000000,hybrid,2,1.70642,0.796704,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\hybrid_run_2.txt
100000000,serial,3,12.93371,12.493223,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\serial_run_3.txt
100000000,openmp,3,3.683023,3.214124,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\openmp_run_3.txt
100000000,mpi,3,3.936647,3.143758,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\mpi_run_3.txt
100000000,hybrid,3,1.662401,0.808643,5761455,fb7e00e2e7eb157e21837f89d0911c01729ebbbd9a18f8608f6e3936b9f953ee,dataset_100000000_130914\hybrid_run_3.txt
101000000,serial,1,13.107566,12.672005,5815663,77972b85723dc8c63ec186b481406b2910c699db11f415c193aebf405bfdaba3,dataset_101000000_130915\serial_run_1.txt
101000000,openmp,1,3.751351,3.256161,5815663,77972b85723dc8c63ec186b481406b2910c699db11f415c193aebf405bfdaba3,dataset_101000000_130915\openmp_run_1.txt
101000000,mpi,1,4.025397,3.181212,5815663,77972b85723dc8c63ec186b481406b2910c699db11f415c193aebf405bfdaba3,dataset_101000000_130915\mpi_run_1.txt
101000000,hybrid,1,4.146018,0.803671,5815663,77972b85723dc8c63ec186b481406b2910c699db11f415c193aebf405bfdaba3,dataset_101000000_130915\hybrid_run_1.txt
