n,implementation,repeats,total_workers,median_overall_s,min_overall_s,max_overall_s,speedup_vs_serial,prime_count
100000000,serial,3,1,12.948174,12.93371,12.952632,1.0,5761455
100000000,openmp,3,4,3.70673,3.683023,3.772387,3.4931527249084775,5761455
100000000,mpi,3,4,3.975437,3.936647,4.016292,3.2570441941351356,5761455
100000000,hybrid,3,16,1.662401,1.653655,1.70642,7.788839154933136,5761455
101000000,serial,3,1,13.131403,13.107566,13.141679,1.0,5815663
101000000,openmp,3,4,3.806815,3.751351,3.939465,3.4494460592384977,5815663
101000000,mpi,3,4,4.081739,4.025397,4.133045,3.2171099132012118,5815663
101000000,hybrid,3,16,1.81813,1.681644,4.146018,7.222477490608482,5815663
102000000,serial,3,1,13.310265,13.232089,13.352224,1.0,5869979
102000000,openmp,3,4,3.830583,3.772164,3.895878,3.474736091085874,5869979
102000000,mpi,3,4,4.104829,4.068793,4.122286,3.2425869628186708,5869979
102000000,hybrid,3,16,1.6927,1.688305,1.748318,7.863333727181425,5869979
103000000,serial,3,1,13.517986,13.511774,13.540713,1.0,5924283
103000000,openmp,3,4,3.910144,3.863931,3.945996,3.457158099548252,5924283
103000000,mpi,3,4,4.158318,4.143571,4.186033,3.250830263582535,5924283
103000000,hybrid,3,16,1.802737,1.791832,1.817695,7.49859019923594,5924283
104000000,serial,3,1,13.716794,13.694078,13.727521,1.0,5978489
104000000,openmp,3,4,3.944943,3.900598,4.043282,3.4770575899322247,5978489
104000000,mpi,3,4,4.235352,4.176763,4.499636,3.2386432107650087,5978489
104000000,hybrid,3,16,1.812313,1.789961,1.965449,7.568667222494128,5978489
105000000,serial,3,1,14.212891,14.181539,14.40187,1.0,6032696
105000000,openmp,3,4,3.976767,3.937479,4.047251,3.5739813270427963,6032696
105000000,mpi,3,4,4.197868,4.195923,4.31168,3.3857403329499647,6032696
105000000,hybrid,3,16,1.80753,1.777828,1.975238,7.863156351485176,6032696
106000000,serial,3,1,14.038396,14.007083,14.056306,1.0,6086767
106000000,openmp,3,4,4.050393,3.999769,4.063112,3.465934293289565,6086767
106000000,mpi,3,4,4.338305,4.274347,4.345967,3.235917253397352,6086767
106000000,hybrid,3,16,1.819618,1.807328,1.820461,7.715023702777176,6086767
107000000,serial,3,1,14.208026,14.14967,14.267344,1.0,6140828
107000000,openmp,3,4,4.051062,4.047334,4.071577,3.507234892973744,6140828
107000000,mpi,3,4,4.331478,4.31673,4.347048,3.2801796523034406,6140828
107000000,hybrid,3,16,1.949457,1.891595,1.984375,7.2881966619422744,6140828
108000000,serial,3,1,14.421355,14.35051,14.438197,1.0,6194963
108000000,openmp,3,4,4.167087,4.105727,4.281521,3.460776076909361,6194963
108000000,mpi,3,4,4.413854,4.409875,4.415276,3.2672931637521314,6194963
108000000,hybrid,3,16,1.906171,1.860743,2.078873,7.565614522516605,6194963
109000000,serial,3,1,14.880509,14.721455,15.087141,1.0,6249178
109000000,openmp,3,4,4.305274,4.207271,4.31365,3.4563442419692687,6249178
109000000,mpi,3,4,4.606198,4.530049,4.668433,3.2305404587471056,6249178
109000000,hybrid,3,16,2.021749,1.840993,2.040176,7.360215832924859,6249178
110000000,serial,3,1,14.958374,14.780767,14.96086,1.0,6303309
110000000,openmp,3,4,4.204728,4.152372,4.278197,3.5575128759815136,6303309
110000000,mpi,3,4,4.571947,4.475318,4.618859,3.271773272962263,6303309
110000000,hybrid,3,16,1.978784,1.872182,2.001192,7.559376869835211,6303309
111000000,serial,3,1,14.891854,14.869746,15.013715,1.0,6357241
111000000,openmp,3,4,4.204952,4.177205,4.231259,3.5415039220423923,6357241
111000000,mpi,3,4,4.495595,4.485715,4.614272,3.312543500915897,6357241
111000000,hybrid,3,16,1.883375,1.865086,1.94679,7.907004181323422,6357241
112000000,serial,3,1,15.050657,15.008383,15.093488,1.0,6411057
112000000,openmp,3,4,4.249565,4.222287,4.301484,3.5416935615763028,6411057
112000000,mpi,3,4,4.658408,4.548309,4.67309,3.230858482125224,6411057
112000000,hybrid,3,16,1.992374,1.927112,2.081427,7.554132406867384,6411057
113000000,serial,3,1,15.326284,15.241252,16.053168,1.0,6465061
113000000,openmp,3,4,4.302901,4.291536,4.464289,3.5618490873947595,6465061
113000000,mpi,3,4,4.675442,4.648179,4.724045,3.2780395949730523,6465061
113000000,hybrid,3,16,1.99863,1.942292,2.070807,7.668394850472573,6465061
114000000,serial,3,1,15.531657,15.48463,15.842236,1.0,6518853
114000000,openmp,3,4,4.412146,4.358504,4.423843,3.520204680443485,6518853
114000000,mpi,3,4,4.749036,4.688716,4.811749,3.270486262896301,6518853
114000000,hybrid,3,16,2.084396,2.018636,2.123652,7.451394552666576,6518853
115000000,serial,3,1,15.629263,15.617398,15.782261,1.0,6572650
115000000,openmp,3,4,4.387064,4.381186,4.423985,3.56257921015057,6572650
115000000,mpi,3,4,4.750198,4.686948,4.991368,3.2902340070877045,6572650
115000000,hybrid,3,16,1.958122,1.925132,2.282471,7.981761606273767,6572650
116000000,serial,3,1,15.893392,15.809475,15.903524,1.0,6626563
116000000,openmp,3,4,4.428128,4.428081,4.469658,3.589189833717544,6626563
116000000,mpi,3,4,4.736803,4.736802,4.916135,3.355299344304587,6626563
116000000,hybrid,3,16,1.966989,1.955982,1.977047,8.080061454334519,6626563
117000000,serial,3,1,15.942586,15.937899,16.147058,1.0,6680446
117000000,openmp,3,4,4.498095,4.470057,4.504077,3.5442973080826436,6680446
117000000,mpi,3,4,4.867986,4.816079,4.952715,3.2749860003705846,6680446
117000000,hybrid,3,16,2.100999,2.044207,2.114634,7.588097852497789,6680446
118000000,serial,3,1,16.177588,16.117872,17.170285,1.0,6734218
118000000,openmp,3,4,4.619843,4.530673,5.060928,3.5017614234942616,6734218
118000000,mpi,3,4,4.912013,4.911652,4.944334,3.293474182580543,6734218
118000000,hybrid,3,16,2.222544,2.026515,2.408001,7.278860620982082,6734218
119000000,serial,3,1,16.748049,16.365089,16.800076,1.0,6787896
119000000,openmp,3,4,4.690542,4.659623,4.769388,3.5705999434606923,6787896
119000000,mpi,3,4,4.990464,4.943018,5.032415,3.3560103830024626,6787896
119000000,hybrid,3,16,2.278485,2.216176,2.410674,7.3505197532571,6787896
120000000,serial,3,1,16.588917,16.560646,16.644498,1.0,6841648
120000000,openmp,3,4,4.798198,4.727613,4.809868,3.4573223114177445,6841648
120000000,mpi,3,4,5.05833,4.987931,5.070681,3.279524467561428,6841648
120000000,hybrid,3,16,2.141495,2.112924,2.475052,7.746418740179173,6841648
121000000,serial,3,1,17.095038,17.070694,17.136983,1.0,6895267
121000000,openmp,3,4,4.95832,4.705769,5.20097,3.4477480275577213,6895267
121000000,mpi,3,4,5.606567,5.179809,6.095889,3.049109731498794,6895267
121000000,hybrid,3,16,2.419108,2.073789,2.726992,7.0666700287874695,6895267
122000000,serial,3,1,16.929569,16.921446,16.983739,1.0,6949036
122000000,openmp,3,4,4.762096,4.761198,4.894206,3.5550667185205844,6949036
122000000,mpi,3,4,5.094415,5.068342,5.236778,3.3231625220952754,6949036
122000000,hybrid,3,16,2.116478,2.116077,2.204785,7.998934550701685,6949036
123000000,serial,3,1,17.057699,17.004606,17.089525,1.0,7002672
123000000,openmp,3,4,4.798478,4.795674,4.893897,3.5548144640863204,7002672
123000000,mpi,3,4,5.110598,5.088079,5.122894,3.3377109684620074,7002672
123000000,hybrid,3,16,2.085408,2.065054,2.093543,8.179549996931055,7002672
124000000,serial,3,1,18.460462,17.256454,19.446232,1.0,7056480
124000000,openmp,3,4,4.952596,4.893952,5.127129,3.727431431919745,7056480
124000000,mpi,3,4,5.443785,5.326939,5.484875,3.3911078413273117,7056480
124000000,hybrid,3,16,2.775661,2.624748,2.971533,6.650834521939099,7056480
125000000,serial,3,1,17.51841,17.464809,17.543139,1.0,7110142
125000000,openmp,3,4,4.932963,4.904577,4.980932,3.5512956411795504,7110142
125000000,mpi,3,4,5.303467,5.259015,5.312184,3.30319958623293,7110142
125000000,hybrid,3,16,2.184412,2.180866,2.286387,8.019737119188138,7110142
126000000,serial,3,1,17.730339,17.686223,17.764023,1.0,7163814
126000000,openmp,3,4,5.0962,5.027362,5.138815,3.4791293512813475,7163814
126000000,mpi,3,4,5.372975,5.36757,5.44563,3.2999109431925517,7163814
126000000,hybrid,3,16,2.259773,2.201393,2.308911,7.846070822157801,7163814
127000000,serial,3,1,17.882161,17.870732,17.909023,1.0,7217427
127000000,openmp,3,4,5.067462,5.025916,5.080062,3.5288199497105257,7217427
127000000,mpi,3,4,5.395886,5.32409,5.410476,3.3140361008368227,7217427
127000000,hybrid,3,16,2.349193,2.345509,2.567645,7.612044221143175,7217427
128000000,serial,3,1,18.149325,18.13977,18.476524,1.0,7271035
128000000,openmp,3,4,5.239288,5.150784,5.873467,3.4640823333246806,7271035
128000000,mpi,3,4,5.71065,5.655758,5.82462,3.178153975466891,7271035
128000000,hybrid,3,16,2.500805,2.433555,2.79091,7.257393119415548,7271035
129000000,serial,3,1,18.371746,18.281232,18.50733,1.0,7324733
129000000,openmp,3,4,5.170964,5.151516,5.440965,3.5528667381942713,7324733
129000000,mpi,3,4,5.548189,5.547733,5.898165,3.311305004209482,7324733
129000000,hybrid,3,16,2.288515,2.276837,2.401394,8.027802308483887,7324733
