implementation,source,overall,compute,communication,count,ranks
serial,finish_hybrid_100000000_p1_134608\serial_run_1.txt,12.880819,12.483931,,5761455,[]
serial,finish_hybrid_100000000_p1_134608\serial_run_2.txt,13.071706,12.594589,,5761455,[]
serial,finish_hybrid_100000000_p1_134608\serial_run_3.txt,13.328105,12.879989,,5761455,[]
mpi,finish_hybrid_100000000_p1_134608\mpi_run_1.txt,13.180202,12.490271,0.004324,5761455,[12.490271]
mpi,finish_hybrid_100000000_p1_134608\mpi_run_2.txt,13.309586,12.48802,0.005137,5761455,[12.48802]
mpi,finish_hybrid_100000000_p1_134608\mpi_run_3.txt,13.374967,12.601555,0.004161,5761455,[12.601555]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t1_run_1.txt,13.37523,12.582244,0.003435,5761455,[12.582244]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t1_run_2.txt,13.683576,12.58698,0.003923,5761455,[12.58698]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t1_run_3.txt,13.924423,13.017524,0.003518,5761455,[13.017524]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t2_run_1.txt,7.121928,6.287136,0.003661,5761455,[6.287136]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t2_run_2.txt,7.196061,6.336024,0.003945,5761455,[6.336024]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t2_run_3.txt,7.548513,6.47114,0.003462,5761455,[6.47114]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t4_run_1.txt,4.146905,3.307626,0.003417,5761455,[3.307626]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t4_run_2.txt,4.539902,3.42289,0.003954,5761455,[3.42289]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t4_run_3.txt,4.258587,3.402159,0.003401,5761455,[3.402159]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t8_run_1.txt,2.570956,1.717225,0.003452,5761455,[1.717225]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t8_run_2.txt,2.43764,1.57852,0.003485,5761455,[1.57852]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t8_run_3.txt,2.482286,1.690606,0.003479,5761455,[1.690606]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t16_run_1.txt,2.227424,1.018292,0.004201,5761455,[1.018292]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t16_run_2.txt,1.697654,0.817948,0.003833,5761455,[0.817948]
hybrid,finish_hybrid_100000000_p1_134608\hybrid_p1_t16_run_3.txt,1.891197,1.045848,0.003942,5761455,[1.045848]
serial,finish_hybrid_100000000_p2_134609\serial_run_1.txt,13.634579,13.017419,,5761455,[]
serial,finish_hybrid_100000000_p2_134609\serial_run_2.txt,13.010063,12.487228,,5761455,[]
