p,t,workers,overall_s,min_overall_s,max_overall_s,empirical,openmp,communication_blocking_s,source,model,predicted_overall_s,rp,rs,x
1,1,1,13.683576,13.37523,13.924423,0.9448496504130207,0.9908241117571122,0.003518,finish_hybrid_100000000_p1_134608,0.9997279709010829,12.93244,0.9654637485269602,0.03426422237412271,0.0002720290989171417
1,2,2,7.196061,7.121928,7.548513,1.7966665374292963,1.8906894426241974,0.003661,finish_hybrid_100000000_p1_134608,1.9326661566274748,6.689682,0.9654530730635945,0.03426384350287948,0.00028308343352600177
1,4,4,4.258587,4.146905,4.539902,3.035965215692435,3.4922428199794555,0.003417,finish_hybrid_100000000_p1_134608,3.6235894884721427,3.5679875,0.9654712886818076,0.03426448997354619,0.00026422134464616185
1,8,8,2.482286,2.43764,2.570956,5.2084739631130335,6.062243282680701,0.003479,finish_hybrid_100000000_p1_134608,6.44087371534519,2.0073242500000004,0.9654666600579428,0.034264325704097834,0.0002690142379593704
1,16,16,1.891197,1.697654,2.227424,6.836369770045109,9.382797061408379,0.003942,finish_hybrid_100000000_p1_134608,10.533373485153923,1.2274246250000003,0.9654320960925592,0.034263099032047384,0.00030480487539341633
2,1,2,7.321872,7.110425,7.386053,1.7657945946064066,1.8906894426241974,0.009236,finish_hybrid_100000000_p2_134609,1.9310568660769856,6.695257,0.9650370632357403,0.03424907935117195,0.0007138574130877054
2,2,4,4.206956,4.01875,4.298408,3.0732249160675797,3.4922428199794555,0.080231,finish_hybrid_100000000_p2_134609,3.547222530499946,3.6448015000000002,0.9597705553928069,0.03406217145728091,0.00616727314991222
2,4,8,2.616615,2.470392,3.124322,4.941086862224668,6.062243282680701,0.010159,finish_hybrid_100000000_p2_134609,6.419510783058178,2.01400425,0.9649682230136746,0.03424663621782726,0.0007851407684981646
2,8,16,1.711639,1.694395,1.916357,7.553533192454718,9.382797061408379,0.032463,finish_hybrid_100000000_p2_134609,10.294173364392266,1.2559456250000003,0.9633077020704192,0.034187704477569344,0.002504593452011494
4,1,4,4.485656,4.45421,4.632249,2.882281209259025,3.4922428199794555,0.310871,finish_hybrid_100000000_p4_134610,3.336115898020909,3.8754415000000004,0.943051148911467,0.033468801211620255,0.02348004987691273
4,2,8,2.480568,2.46106,2.892059,5.212081265258602,6.062243282680701,0.015467,finish_hybrid_100000000_p4_134610,6.4026363431410855,2.0193122500000005,0.9645725263664434,0.03423259297908923,0.0011948806544673527
4,4,16,1.878864,1.653041,2.363023,6.881244198622146,9.382797061408379,0.11979,finish_hybrid_100000000_p4_134610,9.624942665678157,1.3432726250000004,0.9568608763838147,0.03395890720861958,0.009180216407565743
8,1,8,2.520212,2.463892,2.530372,5.13009302392021,6.062243282680701,0.008673,finish_hybrid_100000000_p8_134611,6.424250811141712,2.0125182500000003,0.965079058356673,0.034250569754270384,0.0006703718890566601
8,2,16,1.758899,1.681159,1.873428,7.350576695989934,9.382797061408379,0.012414,finish_hybrid_100000000_p8_134611,10.461167818141746,1.2358966250000003,0.9648000793735669,0.03424066881502812,0.0009592518114049431
16,1,16,1.804293,1.752819,1.83728,7.165644382591963,9.382797061408379,0.017723,finish_hybrid_100000000_p16_134612,10.416422339368625,1.2412056250000003,0.9644044460939494,0.03422662782520111,0.0013689260808495173
