implementation,processes,threads,source,overall_s,computation_s
MPI,1,1,task1_compare_129144\task1_run_1.txt,13.220626,12.500321
MPI,1,1,task1_compare_129144\task1_run_2.txt,13.239176,12.500669
MPI,1,1,task1_compare_129144\task1_run_3.txt,13.313472,12.521834
MPI,2,1,task1_compare_129145\task1_run_1.txt,7.102684,6.230968
MPI,2,1,task1_compare_129145\task1_run_2.txt,6.997755,6.230327
MPI,2,1,task1_compare_129145\task1_run_3.txt,7.012439,6.227653
MPI,4,1,task1_compare_129074\task1_run_1.txt,4.628745,3.867085
MPI,4,1,task1_compare_129074\task1_run_2.txt,3.888648,3.121559
MPI,4,1,task1_compare_129074\task1_run_3.txt,3.922206,3.121986
MPI,4,1,task1_compare_129074\task1_run_4.txt,3.905756,3.121714
MPI,4,1,task1_compare_129074\task1_run_5.txt,3.946429,3.132155
MPI,8,1,task1_compare_129146\task1_run_1.txt,2.45634,1.564553
MPI,8,1,task1_compare_129146\task1_run_2.txt,2.494507,1.565431
MPI,8,1,task1_compare_129146\task1_run_3.txt,2.48694,1.561562
MPI,16,1,task1_compare_129147\task1_run_1.txt,1.746115,0.790559
MPI,16,1,task1_compare_129147\task1_run_2.txt,1.677054,0.787818
MPI,16,1,task1_compare_129147\task1_run_3.txt,1.674027,0.788867
OpenMP,1,1,lab1_baselines_129504\openmp_1_run_1.txt,13.048655,12.553075
OpenMP,1,1,lab1_baselines_129504\openmp_1_run_2.txt,13.093118,12.548356
OpenMP,1,1,lab1_baselines_129504\openmp_1_run_3.txt,13.022889,12.550705
OpenMP,1,2,lab1_baselines_129504\openmp_2_run_1.txt,6.856764,6.342832
OpenMP,1,2,lab1_baselines_129504\openmp_2_run_2.txt,6.834913,6.341674
OpenMP,1,2,lab1_baselines_129504\openmp_2_run_3.txt,6.838205,6.344069
OpenMP,1,4,lab1_baselines_129504\openmp_4_run_1.txt,3.712278,3.206122
OpenMP,1,4,lab1_baselines_129504\openmp_4_run_2.txt,3.702183,3.206419
OpenMP,1,4,lab1_baselines_129504\openmp_4_run_3.txt,3.698355,3.206524
OpenMP,1,8,lab1_baselines_129504\openmp_8_run_1.txt,2.120937,1.644625
OpenMP,1,8,lab1_baselines_129504\openmp_8_run_2.txt,2.132696,1.641623
OpenMP,1,8,lab1_baselines_129504\openmp_8_run_3.txt,2.153689,1.64291
OpenMP,1,16,lab1_baselines_129504\openmp_16_run_1.txt,1.377939,0.873779
OpenMP,1,16,lab1_baselines_129504\openmp_16_run_2.txt,1.341879,0.874241
OpenMP,1,16,lab1_baselines_129504\openmp_16_run_3.txt,1.427565,0.884219
Hybrid,4,1,task2_compare_129323\task2_run_1.txt,3.923288,3.132089
Hybrid,4,1,task2_compare_129323\task2_run_2.txt,3.930754,3.135323
Hybrid,4,1,task2_compare_129323\task2_run_3.txt,3.959871,3.131653
Hybrid,4,2,task2_compare_129324\task2_run_1.txt,2.416699,1.573228
Hybrid,4,2,task2_compare_129324\task2_run_2.txt,2.406099,1.56551
Hybrid,4,2,task2_compare_129324\task2_run_3.txt,2.487499,1.572523
Hybrid,4,4,task2_compare_129075\task2_run_1.txt,1.689182,0.793365
Hybrid,4,4,task2_compare_129075\task2_run_2.txt,1.770235,0.883867
Hybrid,4,4,task2_compare_129075\task2_run_3.txt,1.798036,0.898854
Hybrid,4,4,task2_compare_129075\task2_run_4.txt,1.811747,0.882893
Hybrid,4,4,task2_compare_129075\task2_run_5.txt,1.821038,0.888005
