implementation,n,mpi_processes,threads_per_process,workers,repeats,median_overall_s,min_overall_s,max_overall_s,empirical_speedup
MPI,100000000,1,1,1,3,13.239176,13.220626,13.313472,0.9765654599651821
MPI,100000000,2,1,2,3,7.012439,6.997755,7.102684,1.8437125798883955
MPI,100000000,4,1,4,5,3.922206,3.888648,4.628745,3.296339355964475
MPI,100000000,8,1,8,3,2.48694,2.45634,2.494507,5.19872694958463
MPI,100000000,16,1,16,3,1.677054,1.674027,1.746115,7.709305723011901
OpenMP,100000000,1,1,1,3,13.048655,13.022889,13.093118,0.9908241117571122
OpenMP,100000000,1,2,2,3,6.838205,6.834913,6.856764,1.8906894426241974
OpenMP,100000000,1,4,4,3,3.702183,3.698355,3.712278,3.4922428199794555
OpenMP,100000000,1,8,8,3,2.132696,2.120937,2.153689,6.062243282680701
OpenMP,100000000,1,16,16,3,1.377939,1.341879,1.427565,9.382797061408379
Hybrid,100000000,4,1,4,3,3.930754,3.923288,3.959871,3.289170983480523
Hybrid,100000000,4,2,8,3,2.416699,2.406099,2.487499,5.349827181622536
Hybrid,100000000,4,4,16,5,1.798036,1.689182,1.821038,7.190580166359294
