n,implementation,source,overall,compute,communication,count,ranks
100000000,mpi,finish_theory_100000000_134613\mpi_n100000000_run_1.txt,13.246533,12.56487,0.010673,5761455,[12.56487]
100000000,mpi,finish_theory_100000000_134613\mpi_n100000000_run_2.txt,13.261254,12.574101,0.009022,5761455,[12.574101]
100000000,mpi,finish_theory_100000000_134613\mpi_n100000000_run_3.txt,13.205963,12.523597,0.009888,5761455,[12.523597]
100000000,hybrid,finish_theory_100000000_134613\hybrid_n100000000_run_1.txt,13.353619,12.582363,0.008822,5761455,[12.582363]
100000000,hybrid,finish_theory_100000000_134613\hybrid_n100000000_run_2.txt,13.298533,12.523201,0.007989,5761455,[12.523201]
100000000,hybrid,finish_theory_100000000_134613\hybrid_n100000000_run_3.txt,13.291964,12.527363,0.008169,5761455,[12.527363]
101000000,mpi,finish_theory_100000000_134613\mpi_n101000000_run_1.txt,13.394335,12.696521,0.010931,5815663,[12.696521]
101000000,mpi,finish_theory_100000000_134613\mpi_n101000000_run_2.txt,13.434333,12.724404,0.008509,5815663,[12.724404]
101000000,mpi,finish_theory_100000000_134613\mpi_n101000000_run_3.txt,13.421276,12.741569,0.004291,5815663,[12.741569]
101000000,hybrid,finish_theory_100000000_134613\hybrid_n101000000_run_1.txt,13.606565,12.750002,0.004689,5815663,[12.750002]
101000000,hybrid,finish_theory_100000000_134613\hybrid_n101000000_run_2.txt,13.521643,12.750962,0.004461,5815663,[12.750962]
101000000,hybrid,finish_theory_100000000_134613\hybrid_n101000000_run_3.txt,13.491305,12.714791,0.007074,5815663,[12.714791]
102000000,mpi,finish_theory_100000000_134613\mpi_n102000000_run_1.txt,13.560193,12.844108,0.007596,5869979,[12.844108]
102000000,mpi,finish_theory_100000000_134613\mpi_n102000000_run_2.txt,13.580728,12.870693,0.009146,5869979,[12.870693]
102000000,mpi,finish_theory_100000000_134613\mpi_n102000000_run_3.txt,13.565794,12.866544,0.010095,5869979,[12.866544]
102000000,hybrid,finish_theory_100000000_134613\hybrid_n102000000_run_1.txt,13.653674,12.8685,0.004705,5869979,[12.8685]
102000000,hybrid,finish_theory_100000000_134613\hybrid_n102000000_run_2.txt,13.676084,12.878368,0.004094,5869979,[12.878368]
102000000,hybrid,finish_theory_100000000_134613\hybrid_n102000000_run_3.txt,13.678238,12.887265,0.004129,5869979,[12.887265]
103000000,mpi,finish_theory_103000000_134614\mpi_n103000000_run_1.txt,13.781771,13.083966,0.008434,5924283,[13.083966]
103000000,mpi,finish_theory_103000000_134614\mpi_n103000000_run_2.txt,13.909113,13.098592,0.009973,5924283,[13.098592]
103000000,mpi,finish_theory_103000000_134614\mpi_n103000000_run_3.txt,13.733455,13.026695,0.010128,5924283,[13.026695]
103000000,hybrid,finish_theory_103000000_134614\hybrid_n103000000_run_1.txt,13.973576,13.133554,0.004613,5924283,[13.133554]
103000000,hybrid,finish_theory_103000000_134614\hybrid_n103000000_run_2.txt,13.890087,13.110066,0.004881,5924283,[13.110066]
103000000,hybrid,finish_theory_103000000_134614\hybrid_n103000000_run_3.txt,13.831212,13.043311,0.006696,5924283,[13.043311]
104000000,mpi,finish_theory_103000000_134614\mpi_n104000000_run_1.txt,13.901217,13.198866,0.009038,5978489,[13.198866]
104000000,mpi,finish_theory_103000000_134614\mpi_n104000000_run_2.txt,13.926752,13.205394,0.009168,5978489,[13.205394]
104000000,mpi,finish_theory_103000000_134614\mpi_n104000000_run_3.txt,13.948652,13.204379,0.010737,5978489,[13.204379]
104000000,hybrid,finish_theory_103000000_134614\hybrid_n104000000_run_1.txt,14.005289,13.201418,0.007886,5978489,[13.201418]
104000000,hybrid,finish_theory_103000000_134614\hybrid_n104000000_run_2.txt,14.047835,13.213931,0.003836,5978489,[13.213931]
104000000,hybrid,finish_theory_103000000_134614\hybrid_n104000000_run_3.txt,14.021329,13.180889,0.007153,5978489,[13.180889]
