task,variant,source,rank0_s,rank1_s,rank2_s,rank3_s,max_over_mean,overall_s
Task 1,Cyclic,task1_compare_129074\task1_run_1.txt,3.823826,3.122726,3.867085,3.121356,1.1100357208647322,4.628745
Task 1,Cyclic,task1_compare_129074\task1_run_2.txt,3.120978,3.121559,3.120682,3.121549,1.0001175832822846,3.888648
Task 1,Cyclic,task1_compare_129074\task1_run_3.txt,3.121986,3.121491,3.121793,3.12088,1.00014367919655,3.922206
Task 1,Cyclic,task1_compare_129074\task1_run_4.txt,3.120079,3.120587,3.121714,3.120495,1.000318916916175,3.905756
Task 1,Cyclic,task1_compare_129074\task1_run_5.txt,3.127703,3.132155,3.128569,3.127989,1.0009750395001253,3.946429
Task 1,Block,task1_compare_129074\task1_block_run_1.txt,1.931951,2.964294,3.55884,4.025576,1.2901803838755015,4.726977
Task 1,Block,task1_compare_129074\task1_block_run_2.txt,1.931555,2.964917,3.558106,4.026527,1.290439267997505,4.714651
Task 1,Block,task1_compare_129074\task1_block_run_3.txt,1.931325,2.969318,3.562275,4.031487,1.2906535365229477,4.694619
Task 1,Block,task1_compare_129074\task1_block_run_4.txt,1.932173,2.964286,3.558751,4.027106,1.2904996156162045,4.729144
Task 1,Block,task1_compare_129074\task1_block_run_5.txt,1.936469,2.969529,3.570206,4.0309,1.2891553472330606,4.732673
Task 2,Dynamic(64),task2_compare_129075\task2_run_1.txt,0.793365,0.787568,0.783518,0.792569,1.0052074424615618,1.689182
Task 2,Dynamic(64),task2_compare_129075\task2_run_2.txt,0.88258,0.801137,0.792989,0.883867,1.052043208107665,1.770235
Task 2,Dynamic(64),task2_compare_129075\task2_run_3.txt,0.897462,0.898854,0.786159,0.786508,1.0672110841758478,1.798036
Task 2,Dynamic(64),task2_compare_129075\task2_run_4.txt,0.78579,0.882225,0.882893,0.784927,1.0586770628643203,1.811747
Task 2,Dynamic(64),task2_compare_129075\task2_run_5.txt,0.881646,0.785965,0.785993,0.888005,1.0629669718988668,1.821038
Task 2,Static,task2_compare_129075\task2_static_run_1.txt,1.007501,1.008612,1.007289,1.009587,1.0013287911273747,1.893966
Task 2,Static,task2_compare_129075\task2_static_run_2.txt,1.006456,1.006874,1.018336,1.016096,1.006320035614742,1.900183
Task 2,Static,task2_compare_129075\task2_static_run_3.txt,1.007948,1.084116,1.008738,1.009836,1.054936970854646,1.962138
Task 2,Static,task2_compare_129075\task2_static_run_4.txt,1.007068,1.008119,1.018176,1.161786,1.1077422994987782,2.087533
Task 2,Static,task2_compare_129075\task2_static_run_5.txt,1.247632,1.007182,1.012283,1.009985,1.1668067154195314,2.129641
